年份,变量,均值,中位数,标准差,最小值,最大值,样本量
2014,Top1,0.3521064023166023,0.3328924999999999,0.15360735510195164,0.021969,0.894086,2590
2014,HHI5,0.16574591866407767,0.13509,0.1189103168433614,0.01231494,0.57168862,2575
2014,Size,22.01419513441147,21.843800338618628,1.5442269417609589,14.941641134783383,30.65679523038193,2803
2014,Age,9.096530401923738,9.0,5.453013132106025,0.0,15.0,2911
2015,Lev,0.43289657376207763,0.4184174617976477,0.2136531372379258,0.0522700564580812,0.92533294749851,3086
2015,SL,0.33635156156890006,0.31608171161370335,0.18043518576822912,0.0,0.8014958064688069,3086
2015,LL,0.08316754182720691,0.03906136482758865,0.10220645059088998,0.0,0.4555797641409814,3086
2015,SDR,0.8082794842266144,0.8787589403908129,0.20565102891736145,0.0,1.0,3086
2015,Cash,0.17727949360611056,0.14423233743058744,0.12534062829753403,0.004615437336493,0.6155292224547786,3086
2015,ROA,0.03555985097626418,0.033604663281855504,0.058152936545875104,-0.1838575969695387,0.1998722628006124,3086
2015,ROE,0.05272825577727645,0.06470143843925785,0.13578996179171657,-0.71340978559673,0.3526280631864713,3086
2015,SLoan,0.09372552800210159,0.0620215312358571,0.10162278418570661,0.0,0.4225482758277523,3083
2015,LLoan,0.040497794154744214,0.00044842089465785,0.07393037882355426,0.0,0.3607798965629966,3074
2015,Top1,0.343266340342124,0.32381599999999994,0.1499103635458295,0.002863,0.8998579999999999,2806
2015,HHI5,0.159031228980322,0.131017,0.11399253136551668,0.01234786,0.5555731399999997,2795
2015,Size,22.02248706927741,21.89902168289362,1.6089829080584213,15.97917167818854,30.73155384833783,3098
2015,Age,8.778673835125447,7.0,6.117634741364551,0.0,16.0,3348
2016,Lev,0.41996088928747066,0.3993740896815984,0.21321820558638924,0.0562317346727429,0.932104121894532,3429
2016,SL,0.33027143932474723,0.3083862637929145,0.17428539266536475,0.0409709925863181,0.8003666093861451,3375
2016,LL,0.08470353797806837,0.04369455011075185,0.10056933636520092,0.0001074168194978,0.449464760187837,3220
2016,SDR,0.8218719961556867,0.8794759054469559,0.17950074165880264,0.230111516485941,1.0,3375
2016,Cash,0.18106700639484197,0.1482526706597929,0.1270243805609258,0.0066867781812394,0.6270997776986913,3429
2016,ROA,0.04315246286057859,0.0382112541056709,0.05437860841648565,-0.1550726190052629,0.2133837624249225,3429
2016,ROE,0.06884014416302328,0.0705949270154581,0.11136587628008451,-0.5342494216998354,0.3672698576014865,3429
2016,SLoan,0.08068563211417282,0.0485993618491302,0.09326109166792314,0.0,0.4020867395079495,3419
2016,LLoan,0.06686145348172433,0.03565134941099865,0.08216911757203621,0.0,0.3775377790609773,1904
2016,Top1,0.3353518960396039,0.314033,0.14798590179681126,0.0415139999999999,0.89093,3030
2016,HHI5,0.1537762662202381,0.1252135,0.1102833499159812,0.01392015,0.5422383999999999,3024
2016,Size,22.07748109557278,21.98158896073518,1.6488466622560702,16.63803999414195,30.814778027747646,3435
2016,Age,8.76311563169165,7.0,6.514557014984608,0.0,17.0,3736
2017,Lev,0.41622234188767643,0.39848669413658067,0.20845939598633403,0.0614761472799368,0.924114531985174,3812
2017,SL,0.33036489552098147,0.3123546787051433,0.16875954460522,0.0448422500980999,0.785566288060097,3747
2017,LL,0.08147602706901284,0.0419770280760398,0.09663261485423233,0.000190884666603,0.4460790440041973,3565
2017,SDR,0.8302773948124531,0.8862206536949229,0.17178613244190494,0.2718908874317212,1.0,3747
2017,Cash,0.17537381228081975,0.1413143092842666,0.12073454634432872,0.0173646933259021,0.6000344327441637,3785
2017,ROA,0.047265248957575536,0.04224448520773195,0.05378330363124687,-0.1617736536727126,0.2159213556476808,3812
2017,ROE,0.0770932141359269,0.07821023838621755,0.10198137253021565,-0.4289555639238844,0.3665123972080428,3812
2017,SLoan,0.11278553377360882,0.0900205731076158,0.09422485926009921,0.000532148866464,0.4260271782822196,2825
2017,LLoan,0.07235898818944447,0.04321144749635805,0.08161762502032188,0.0,0.3921955257134547,1944
2017,Top1,0.3358664452470384,0.3140469999999999,0.1461391948064941,0.041456,0.89093,3461
2017,HHI5,0.1555699868871482,0.128976,0.1093907369846906,0.01580036,0.5462871199999999,3447
2017,Size,22.10743771353211,21.98983658262048,1.626014092879373,16.797126318748795,30.89245987021005,3827
2017,Age,9.481414088900442,8.0,6.624667911443572,0.0,18.0,3847
2018,Lev,0.4328497667368595,0.41835204667800024,0.2082624487730632,0.0649864536876868,0.9292599757314556,3906
2018,SL,0.34600647175187305,0.3284191213462634,0.1733215474984236,0.0495687268319591,0.8172156614512092,3829
2018,LL,0.08116972763070274,0.0440314877546237,0.09432104023438376,0.0002082260223472,0.4407495132136868,3681
2018,SDR,0.8321296333964016,0.8868472120937597,0.16983833700035178,0.2684762978699061,1.0,3829
2018,Cash,0.16427200648886012,0.1370500809969956,0.11291740658232442,0.012782207017786,0.564140427114317,3873
2018,ROA,0.028703023582658627,0.036414123447356256,0.10100694282882923,-0.5444369527523427,0.2164115314743016,3906
