年份,行业代码,行业名称,变量,均值,样本量
2019,G,Transport,Cash,0.12943369809084013,101
2019,G,Transport,ROA,0.04372696783394688,101
2019,G,Transport,ROE,0.0746776955500342,101
2019,J,Finance,SLoan,0.037857289454659326,56
2019,J,Finance,LLoan,0.05820819999927791,38
2019,J,Finance,Lev,0.7385954773872688,118
2019,J,Finance,Cash,0.20371428887120163,82
2019,J,Finance,ROA,0.012706033372523077,118
2019,J,Finance,ROE,0.056450987920170066,118
2019,K,Real Estate,SLoan,0.046536023610466055,84
2019,K,Real Estate,LLoan,0.13818638094304997,98
2019,K,Real Estate,Lev,0.6381463466007689,116
2019,K,Real Estate,Cash,0.15100011661481533,116
2019,K,Real Estate,ROA,0.023646481213349144,116
2019,K,Real Estate,ROE,0.051701200420826286,116
2021,C,Manufacturing,SLoan,0.09642334439140299,2387
2021,C,Manufacturing,LLoan,0.056155948298192065,1596
2021,C,Manufacturing,Lev,0.3844564055602206,3220
2021,C,Manufacturing,Cash,0.19190484527491725,3220
2021,C,Manufacturing,ROA,0.049555280745194184,3220
2021,C,Manufacturing,ROE,0.058977580213394665,3220
2021,D,Utilities,SLoan,0.08698477773467539,117
2021,D,Utilities,LLoan,0.18554064297515893,118
2021,D,Utilities,Lev,0.5506822618147916,130
2021,D,Utilities,Cash,0.11403206935373071,130
2021,D,Utilities,ROA,0.017576320910409712,130
2021,D,Utilities,ROE,-0.015492895048275885,130
2021,E,Construction,SLoan,0.0802478882973542,91
2021,E,Construction,LLoan,0.08499790036986397,85
2021,E,Construction,Lev,0.6712689822686569,106
2021,E,Construction,Cash,0.1514225246560201,106
2021,E,Construction,ROA,-0.019824015034745224,106
2021,E,Construction,ROE,-0.15550810767803527,106
2021,F,Wholesale/Retail,SLoan,0.1172341441295509,149
2021,F,Wholesale/Retail,LLoan,0.05563436364396245,102
2021,F,Wholesale/Retail,Lev,0.5326739709740093,187
2021,F,Wholesale/Retail,Cash,0.18179242853367988,187
2021,F,Wholesale/Retail,ROA,0.027365859416532724,187
2021,F,Wholesale/Retail,ROE,0.01624221602854386,187
2021,G,Transport,SLoan,0.07661958069283875,83
2021,G,Transport,LLoan,0.13397921484097228,84
2021,G,Transport,Lev,0.456456132542466,109
2021,G,Transport,Cash,0.1424153011119164,109
2021,G,Transport,ROA,0.03775077407197869,109
2021,G,Transport,ROE,0.05145055371512276,109
2021,J,Finance,SLoan,0.03445703272770442,54
2021,J,Finance,LLoan,0.04358734192318967,33
2021,J,Finance,Lev,0.7579468839600415,127
2021,J,Finance,Cash,0.22242150623174,85
2021,J,Finance,ROA,0.016072349763156635,127
2021,J,Finance,ROE,0.06472516897587094,127
2021,K,Real Estate,SLoan,0.04051841066943206,81
2021,K,Real Estate,LLoan,0.12719546873767612,100
2021,K,Real Estate,Lev,0.6541676503049524,117
2021,K,Real Estate,Cash,0.13221438094273463,117
2021,K,Real Estate,ROA,0.006727515666501116,117
2021,K,Real Estate,ROE,-0.05849216504835443,117
2023,C,Manufacturing,SLoan,0.08265773524039896,2798
2023,C,Manufacturing,LLoan,0.06920289090590871,2011
2023,C,Manufacturing,Lev,0.37663280874175675,3596
2023,C,Manufacturing,Cash,0.20289177056345234,3596
2023,C,Manufacturing,ROA,0.028331221947551107,3596
2023,C,Manufacturing,ROE,0.02918182985273767,3596
2023,D,Utilities,SLoan,0.07907018255953982,116
2023,D,Utilities,LLoan,0.20991247283665518,124
2023,D,Utilities,Lev,0.543531018139293,136
2023,D,Utilities,Cash,0.11980925472872721,136
2023,D,Utilities,ROA,0.03262581120079743,136
2023,D,Utilities,ROE,0.06185345063590617,136
2023,E,Construction,SLoan,0.06798395727161582,93
2023,E,Construction,LLoan,0.10055796627864876,83
2023,E,Construction,Lev,0.6755214908300101,106
2023,E,Construction,Cash,0.14466119024911875,106
2023,E,Construction,ROA,-0.005313676322337343,106
2023,E,Construction,ROE,-0.06537263368327441,106
2023,F,Wholesale/Retail,SLoan,0.11967210812482108,158
2023,F,Wholesale/Retail,LLoan,0.060086020534860105,106
2023,F,Wholesale/Retail,Lev,0.5272412161237372,191
2023,F,Wholesale/Retail,Cash,0.17953534004931326,191
2023,F,Wholesale/Retail,ROA,0.01526613335875686,191
2023,F,Wholesale/Retail,ROE,0.008494712266845452,191
2023,G,Transport,SLoan,0.06957371276462648,88
2023,G,Transport,LLoan,0.13885237493224553,90
2023,G,Transport,Lev,0.4345310305103016,112
2023,G,Transport,Cash,0.14656722126462116,112
2023,G,Transport,ROA,0.03966885533033515,112
2023,G,Transport,ROE,0.0627874829526741,112
2023,J,Finance,SLoan,0.028206257039718293,49
2023,J,Finance,LLoan,0.05396273556941325,30
2023,J,Finance,Lev,0.7660740264328101,126
2023,J,Finance,Cash,0.21262766200544675,84
2023,J,Finance,ROA,0.00830090149342757,126
2023,J,Finance,ROE,0.05162559774734782,126
2023,K,Real Estate,SLoan,0.04351348244644184,74
2023,K,Real Estate,LLoan,0.13574888839633995,89
2023,K,Real Estate,Lev,0.6200476676823848,104
2023,K,Real Estate,Cash,0.1376729770702112,104
2023,K,Real Estate,ROA,-0.0009155066306425157,104
2023,K,Real Estate,ROE,-0.044649157832731476,104
